# zmin zmax N_all N_secure N_secure1 comp_frac comp_frac1
0.3 0.4 698 695 695 0.995702005730659 0.995702005730659
0.4 0.5 1310 1293 1289 0.9870229007633587 0.983969465648855
0.5 0.6 1675 1633 1637 0.9749253731343284 0.977313432835821
0.6 0.7 2024 1968 1978 0.9723320158102767 0.9772727272727273
0.7 0.8 2552 2444 2466 0.957680250783699 0.9663009404388715
0.8 0.9 2555 2448 2473 0.9581213307240705 0.9679060665362035
0.9 1.0 1953 1817 1861 0.9303635432667691 0.9528929851510497
1.0 1.1 813 790 797 0.971709717097171 0.980319803198032
1.1 1.2 334 320 320 0.9580838323353293 0.9580838323353293
1.2 1.3 86 82 85 0.9534883720930233 0.9883720930232558
